record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2015-04-17,8199.0,8199.0,8199.0,8199.0,4.45,7,57393,57393
2015-04-15,7850.0,7850.0,7850.0,7850.0,-0.16,5,39250,39250
2015-04-09,8000.0,8000.0,7801.0,7862.76,7.44,29,228020,228020
2015-03-30,7700.0,7700.0,7200.0,7318.18,1.64,110,805000,805000
2015-03-25,7200.0,7200.0,7200.0,7200.0,-1.83,10,72000,72000
2015-03-16,7334.0,7334.0,7334.0,7334.0,-2.99,30,220020,220020
2015-03-13,7560.0,7560.0,7560.0,7560.0,0.0,61,461160,461160
2015-03-11,7560.0,7560.0,7560.0,7560.0,0.0,38,287280,287280
2015-03-09,7560.0,7560.0,7560.0,7560.0,0.48,7,52920,52920
2015-03-05,7560.0,7560.0,7500.0,7523.62,1.67,127,955500,955500
2015-03-04,7400.0,7400.0,7400.0,7400.0,-2.12,130,962000,962000
2015-02-24,7560.0,7560.0,7560.0,7560.0,-0.01,10,75600,75600
2015-02-19,7560.0,7564.0,7560.0,7560.92,0.2,13,98292,98292
2015-02-18,7546.0,7546.0,7546.0,7546.0,0.0,30,226380,226380
2015-02-17,7546.0,7546.0,7546.0,7546.0,0.0,119,897974,897974
2015-02-11,7700.0,7720.0,7499.0,7546.29,-0.71,150,1131943,3794243
2015-02-06,7600.0,7600.0,7600.0,7600.0,-4.98,25,190000,190000
2015-02-03,7998.0,7998.0,7998.0,7998.0,-1.85,15,119970,119970
2015-01-27,8149.0,8149.0,8149.0,8149.0,1.57,10,81490,81490
2015-01-22,8040.0,8040.0,8000.0,8022.86,-0.47,35,280800,280800
2015-01-21,8000.0,8244.0,8000.0,8061.0,0.14,80,644880,644880
2015-01-20,8050.0,8050.0,8050.0,8050.0,-2.31,20,161000,161000
2015-01-15,8240.0,8240.0,8240.0,8240.0,1.83,30,247200,247200
2015-01-14,8093.0,8093.0,8090.0,8091.71,-1.92,21,169926,169926
2015-01-12,8250.0,8250.0,8249.0,8249.8,-0.59,25,206245,206245
2015-01-08,8299.0,8299.0,8299.0,8299.0,-0.01,11,91289,91289
2015-01-05,8300.0,8300.0,8300.0,8300.0,-0.84,7,58100,58100
